Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,Bitcoin.com,F2Pool,GBMiners,SlushPool,Unknown,ViaBTC,others
2017-04-03 00:00:00 UTC,3.2362686883097414e+17,7.468312357637864e+17,4.232043669328123e+17,1.2447187262729773e+17,4.232043669328123e+17,1.7426062167821683e+17,1.7426062167821683e+17,2.9873249430551456e+17,1.9915499620367638e+17,3.734156178818932e+17,9.957749810183819e+16,9.957749810183819e+16,4.232043669328123e+17,2.2404937072913594e+17,2.7383811978005504e+17
2017-04-04 00:00:00 UTC,2.9556090881745504e+17,4.433413632261825e+17,2.2167068161309126e+17,1.231503786739396e+17,2.9556090881745504e+17,7.389022720436376e+16,1.231503786739396e+17,3.694511360218188e+17,,4.926015146957584e+17,7.389022720436376e+16,9.852030293915168e+16,1.7241053014351546e+17,1.4778045440872752e+17,1.4778045440872752e+17
2017-04-05 00:00:00 UTC,1.991295855304721e+17,6.720623511653432e+17,3.2358557648701715e+17,1.7423838733916307e+17,3.2358557648701715e+17,2.489119819130901e+17,2.4891198191309012e+16,5.7249755840010726e+17,9.956479276523605e+16,2.738031801043991e+17,7.467359457392702e+16,2.489119819130901e+17,2.738031801043991e+17,2.489119819130901e+17,2.7380318010439914e+17
2017-04-06 00:00:00 UTC,2.992254121199363e+17,6.233862752498673e+17,3.490963141399257e+17,1.7454815706996285e+17,3.490963141399257e+17,2.4935451009994694e+17,1.7454815706996285e+17,3.490963141399257e+17,9.974180403997877e+16,1.9948360807995754e+17,2.4935451009994692e+16,2.2441905908995222e+17,1.2467725504997347e+17,1.4961270605996816e+17,2.7428996110994163e+17
2017-04-07 00:00:00 UTC,2.222011528822822e+17,6.419144416599264e+17,2.715791868561227e+17,2.9626820384304294e+17,4.1971328877764416e+17,2.222011528822822e+17,9.875606794768098e+16,3.7033525480380365e+17,7.406705096076074e+16,4.690913227514847e+17,4.937803397384049e+16,2.222011528822822e+17,9.875606794768098e+16,9.875606794768098e+16,4.444023057645644e+17
2017-04-08 00:00:00 UTC,1.797446464597041e+17,5.6491174601621286e+17,2.3110025973390528e+17,1.5406683982260352e+17,4.1084490619360934e+17,2.3110025973390528e+17,2.5677806637100584e+16,5.392339393791123e+17,1.0271122654840234e+17,3.338114862823076e+17,7.703341991130176e+16,1.797446464597041e+17,2.3110025973390528e+17,5.135561327420117e+16,2.0542245309680467e+17
2017-04-09 00:00:00 UTC,1.6852837724842573e+17,6.259625440655813e+17,1.9260385971248656e+17,2.1667934217654736e+17,4.092832018890339e+17,1.6852837724842573e+17,9.630192985624328e+16,4.574341668171556e+17,7.222644739218245e+16,6.981889914577637e+17,1.203774123203041e+17,2.1667934217654736e+17,1.444528947843649e+17,2.407548246406082e+16,2.166793421765474e+17
2017-04-10 00:00:00 UTC,1.7354992085038144e+17,8.181639125803697e+17,3.223069958649941e+17,7.437853750730632e+16,2.975141500292253e+17,1.4875707501461264e+17,1.2396422917884389e+17,3.470998417007629e+17,9.91713833430751e+16,5.2064976255114426e+17,9.91713833430751e+16,2.2313561252191898e+17,7.437853750730632e+16,9.91713833430751e+16,2.2313561252191898e+17
2017-04-11 00:00:00 UTC,1.7436175841585062e+17,5.978117431400594e+17,2.2417940367752227e+17,1.4945293578501485e+17,3.736323394625371e+17,2.739970489391939e+17,2.2417940367752227e+17,5.479940978783878e+17,4.981764526167162e+16,2.989058715700297e+17,9.963529052334323e+16,2.739970489391939e+17,1.9927058104668646e+17,2.4908822630835808e+17,4.234499847242087e+17
2017-04-12 00:00:00 UTC,2.4984223940449296e+17,5.996213745707831e+17,1.7488956758314506e+17,1.2492111970224648e+17,3.497791351662901e+17,1.2492111970224648e+17,7.495267182134789e+16,4.2473180698763795e+17,9.993689576179718e+16,4.747002548685366e+17,4.996844788089859e+16,2.2485801546404365e+17,1.4990534364269578e+17,1.7488956758314506e+17,2.4984223940449293e+17
2017-04-13 00:00:00 UTC,1.0420494084917638e+17,5.4707593945817606e+17,3.386660577598232e+17,7.815370563688229e+16,2.8656358733523504e+17,1.3025617606147048e+17,1.8235864648605866e+17,3.9076852818441146e+17,5.210247042458819e+16,3.1261482254752915e+17,,2.3446111691064685e+17,2.8656358733523504e+17,2.6051235212294096e+16,3.386660577598232e+17
2017-04-14 00:00:00 UTC,3.050744272368907e+17,6.355717234101888e+17,2.5422868936407555e+17,1.779600825548529e+17,3.050744272368907e+17,1.0169147574563022e+17,5.084573787281511e+16,3.050744272368907e+17,2.5422868936407556e+16,2.0338295149126045e+17,1.2711434468203778e+17,1.5253721361844534e+17,2.28805820427668e+17,2.28805820427668e+17,4.3218877191892845e+17
2017-04-15 00:00:00 UTC,2.344058138436588e+17,5.990370798226836e+17,5.20901808541464e+17,1.562705425624392e+17,2.60450904270732e+17,1.562705425624392e+17,1.0418036170829282e+17,3.9067635640609805e+17,7.81352712812196e+16,4.9485671811439085e+17,,3.125410851248784e+17,1.30225452135366e+17,7.81352712812196e+16,3.90676356406098e+17
2017-04-16 00:00:00 UTC,1.8100473751729658e+17,4.137251143252493e+17,3.6200947503459315e+17,2.0686255716262464e+17,3.1029383574393696e+17,2.0686255716262464e+17,1.0343127858131232e+17,4.654407536159055e+17,1.0343127858131232e+17,3.36151655389265e+17,1.292890982266404e+17,2.0686255716262464e+17,3.1029383574393696e+17,1.0343127858131232e+17,3.36151655389265e+17
2017-04-17 00:00:00 UTC,2.075318910539623e+17,6.22595673161887e+17,2.334733774357076e+17,1.0376594552698115e+17,3.112978365809435e+17,2.594148638174529e+17,1.2970743190872645e+17,2.8535635019919814e+17,1.0376594552698115e+17,3.6318080934443405e+17,7.782445914523587e+16,2.075318910539623e+17,2.075318910539623e+17,1.8159040467221702e+17,2.8535635019919814e+17
