Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,okcoin,others
2017-08-09 00:00:00 UTC,5158.323,26186.94962699,13917.3650741799,21422.20270411,16675.91929188,15032.5618220099,10699.7195356004,16330.196402,13812.9209999999,31893.55035374201
2017-08-10 00:00:00 UTC,5221.636,19018.37554124,8538.7405991,12115.22498404,10488.03240744,11100.49134816,8118.0562958082,12437.75638113,10733.239,23794.42940984726
2017-08-11 00:00:00 UTC,5402.388,26292.52146077,10768.68856412,31329.34521634,14267.66350379,17439.79867776,10700.058543272,16640.28939078,16335.199,36062.02479736508
2017-08-12 00:00:00 UTC,4778.242,37553.6782766801,16528.8165636499,44090.40260825,15040.4031187,21123.92932638,13729.6861752688,19544.51244963,20590.031,42907.34596867737
2017-08-13 00:00:00 UTC,4443.705,48052.77520115,21001.3910793898,90991.7748864702,18752.93439389,25553.75045112,14131.9398823689,29039.29764872,32995.069,64555.7603844614
2017-08-14 00:00:00 UTC,4280.908,34131.30096245,15063.41746074,49800.00360982,16416.98784717,23193.81844307,17154.3712548134,23705.58315829,21047.481,48826.57618545568
2017-08-15 00:00:00 UTC,5169.629,63766.6194291903,23573.9296174198,82618.0372290302,28901.97541644,36075.3888863399,22901.4835313325,33787.72441515,31525.874,72739.23182915626
2017-08-16 00:00:00 UTC,5104.272,35196.64069681,16139.88315939,46951.45106523,15075.38987534,20312.80562291,9493.74062738563,20764.70827026,19379.115,42399.18568471906
2017-08-17 00:00:00 UTC,5112.329,39951.40791143,14218.62185785,35250.5833197,16660.25801083,22672.7404753899,11994.8302572125,20538.51295405,25317.4509999999,46996.9059304764
2017-08-18 00:00:00 UTC,5111.058,46356.8647601202,13808.11132473,26727.21708701,19779.44026627,22903.17321529,13306.9005340344,23994.62722282,21563.438,43370.310229682706
2017-08-19 00:00:00 UTC,4800.756,41377.6904141601,12940.77237826,35077.46274018,16555.5324058,11799.7120752,9582.9205521665,12728.62617013,28916.563,47638.8003399381
2017-08-20 00:00:00 UTC,5385.031,24834.55706027,7561.77351641,14411.09208946,7216.24671513,9205.89200903997,9490.3182383833,11216.25707987,11113.836,19793.827466412262
2017-08-21 00:00:00 UTC,4585.854,26509.87905093,9057.50125552999,22596.63823963,11763.78393332,14594.47155959,16400.4037276698,13055.54222688,16263.056,33480.74543099454
2017-08-22 00:00:00 UTC,4869.978,61023.4198574603,21731.3499176699,31192.79261706,26311.87088674,24285.5939059899,17495.1465733336,25555.87779702,27991.8979999999,52944.45648252587
2017-08-23 00:00:00 UTC,3709.195,27016.14482166,12705.54264135,20720.15130314,16809.55908625,13636.86020368,9985.1975281514,14134.4447587,19346.402,35196.6406832837
2017-08-24 00:00:00 UTC,4069.76,21952.09497686,9772.14567913999,18812.04186211,12177.06497392,11448.2397776,8739.3863834478,12468.33981336,16559.7119999999,29809.061778565
2017-08-25 00:00:00 UTC,2686.3,27348.3434331901,9985.22024688,15294.6265927,11104.05066641,12397.08776077,9365.0176429763,11781.38894511,12435.5429999999,26564.98902340559
2017-08-26 00:00:00 UTC,3671.674,14764.33864932,5784.92298955,8284.25355203,7337.91463137,6840.08223184,,6223.85042721,7530.99800000001,16396.37472515521
2017-08-27 00:00:00 UTC,3489.359,11155.10058344,5203.39979767,8256.66324088,4737.33708788,7740.98595342998,4077.4357362602,5725.20714749,8579.97399999999,17302.993921309167
2017-08-28 00:00:00 UTC,3490.54,20721.46576992,9470.80658907998,15165.84267505,10513.3459983,11464.39592986,8834.039195056,12367.00464756,13243.915,26099.5199748541
2017-08-29 00:00:00 UTC,3378.621,31084.7687528201,9147.88330829999,18905.38333248,14374.45164949,16315.17211809,10497.8719156739,15932.99223511,17802.3089999998,36840.585576019956
2017-08-30 00:00:00 UTC,3560.134,17045.26598685,11501.0158416,12057.4099064,9867.07451122,12023.1010846001,9155.8735093521,10752.76486482,16618.3999999999,28678.69616827662
2017-08-31 00:00:00 UTC,3302.181,18388.30197817,10196.32371643,10855.95604822,10589.79618762,15582.1093581,7399.4456172691,11529.98757241,14290.808,26356.95433385229
2017-09-01 00:00:00 UTC,2929.366,28619.97603007,13288.18164917,12464.47758218,17499.92502253,19073.35316298,8241.9074739622,12984.21575338,16539.356,33028.523947736816
2017-09-02 00:00:00 UTC,4224.124,53903.4791410302,22951.7985069699,20493.7143549299,19727.57197008,21521.8060133499,13498.9872062585,19144.82508003,21786.8449999999,40401.58834481831
2017-09-03 00:00:00 UTC,4246.103,33442.01042479,17946.6288154099,15195.39412369,12607.89226312,12732.44235535,9622.4164463147,13733.5844458,12471.353,27041.89225518154
2017-09-04 00:00:00 UTC,4548.636,58639.5508868302,23373.8801246299,18725.6106378,29971.4027372,23941.22358144,14268.5890385493,27310.53367768,27473.578,49742.1200723799
2017-09-05 00:00:00 UTC,4820.027,57653.4422207201,28636.1410392999,26069.72051887,24197.85847833,19312.7642384199,14384.0621557924,19766.55378072,36497.7349999999,55722.62169382624
2017-09-06 00:00:00 UTC,3760.128,38923.16191729,15907.43407338,15357.05876523,19151.21509439,19263.79201945,9995.71258153411,13965.59499212,21887.631,37699.87197288422
2017-09-07 00:00:00 UTC,3139.106,23059.57140427,10082.88936865,12652.38366785,10842.40435403,10217.97527235,5904.69786730261,9852.40308197,12600.516,25797.837080872556
2017-09-08 00:00:00 UTC,4316.067,60463.2545571905,18233.5994171299,17483.0119061299,27222.85578352,24357.41885286,14842.4161219083,18882.43567001,41851.8760000004,61980.540163064004
2017-09-09 00:00:00 UTC,5159.399,31028.61923065,13512.34155525,12283.06020618,11380.60208104,10977.89752428,5923.92286301159,8784.76814172,21806.9189999998,32099.467154770173
2017-09-10 00:00:00 UTC,5054.038,45668.57903591,18328.0512827199,10786.44063815,16546.8960365,11338.22281261,7210.58353449241,11094.26813697,28157.5830000001,40903.28262730113
2017-09-11 00:00:00 UTC,6020.792,30796.20185999,13380.86082181,13140.43153213,13476.15502268,10294.80341654,9646.2851311153,11067.54900178,21800.2289999999,35234.868113347446
2017-09-12 00:00:00 UTC,3317.306,39957.3722259601,14949.11477191,12629.43847775,15969.89863769,14285.95734015,7709.9239060043,13985.96733706,22429.27,39205.43197633555
2017-09-13 00:00:00 UTC,4201.429,71159.3465870702,23727.9273907499,16933.5905050599,35511.93437813,26064.0077359199,16514.7139678537,29669.63338122,20786.785,47683.54076205966
2017-09-14 00:00:00 UTC,4824.963,126130.898021391,30321.6890081199,28446.05134619,47975.16485721,40526.3749088299,24805.035952791,43583.67147301,49525.3290000004,61860.40359418093
2017-09-15 00:00:00 UTC,5038.805,181337.526274121,44941.2597525101,53600.95055,71983.43233598,60382.4702736203,35845.605533654,56233.4491427399,62252.8640000005,58097.216626373774
